date,time,from,to,duration,cost
2024-11-09,00:15:04,700503889662,700509464851,1.40,0.02
2024-11-09,01:10:04,700501353032,700507461873,1.13,0.02
2024-11-09,01:14:34,700502358705,700506921394,1.66,0.02
2024-11-09,01:14:35,700504945047,700508306824,2.32,0.03
2024-11-09,01:24:22,700507000198,700501581296,1.91,0.03
2024-11-09,01:38:07,700506930483,700501715183,1.91,0.03
2024-11-09,01:53:50,700505888140,700501784949,1.01,0.02
2024-11-09,02:12:47,700505294425,700506358623,1.26,0.02
2024-11-09,02:31:30,700508395939,700508829986,1.53,0.02
2024-11-09,02:34:33,700504651663,700503152834,2.54,0.04
2024-11-09,02:40:42,700503741520,700502549973,0.83,0.01
2024-11-09,02:46:23,700502967674,700502567364,1.81,0.03
2024-11-09,02:55:52,700501043452,700507835440,1.52,0.02
2024-11-09,03:00:51,700502877151,700502769476,1.33,0.02
2024-11-09,03:17:18,700504126095,700508636087,2.35,0.04
2024-11-09,03:26:12,700503602173,700506847430,1.50,0.02
2024-11-09,03:34:27,700509323865,700503780820,1.75,0.03
2024-11-09,03:41:38,700504842126,700506859421,2.22,0.03
2024-11-09,03:47:06,700507449477,700502242437,2.31,0.03
2024-11-09,03:55:23,700502507493,700506262435,1.16,0.02
2024-11-09,03:55:59,700505265135,700507637702,2.46,0.04
2024-11-09,04:07:03,700502007886,700509529961,2.89,0.04
2024-11-09,04:30:46,700505105242,700507100809,3.50,0.05
2024-11-09,04:42:28,700504269126,700503180601,3.08,0.05
2024-11-09,04:49:45,700507040081,700502211249,1.08,0.02
2024-11-09,05:04:38,700501987130,700504547730,1.01,0.02
2024-11-09,05:11:50,700503024596,700502618317,1.27,0.02
2024-11-09,05:13:12,700502895701,700506153452,2.41,0.04
2024-11-09,05:29:12,700506437851,700508067122,1.58,0.02
2024-11-09,05:42:47,700509976706,700503667779,1.16,0.02
2024-11-09,05:48:30,700503990658,700501041399,0.93,0.01
2024-11-09,05:48:51,700501438534,700502608659,2.39,0.04
2024-11-09,05:56:52,700504506562,700506206210,2.61,0.04
2024-11-09,06:02:28,700505375549,700501945204,1.47,0.02
2024-11-09,06:07:40,700508310546,700503230528,2.35,0.04
2024-11-09,06:12:30,700504377395,700507349934,1.38,0.02
2024-11-09,06:28:30,700507787063,700504483044,1.40,0.02
2024-11-09,06:35:42,700507472633,700509325717,1.08,0.02
2024-11-09,07:01:34,700505711447,700508361744,1.59,0.02
2024-11-09,07:14:50,700504006321,700505105861,2.01,0.03
2024-11-09,07:28:47,700509847516,700503771432,1.95,0.03
2024-11-09,07:35:25,700506042291,700508787015,2.19,0.03
2024-11-09,07:37:56,700509152460,700503236697,1.24,0.02
2024-11-09,07:41:02,700501049312,700503778427,1.75,0.03
2024-11-09,07:54:02,700509668935,700502344231,2.37,0.04
2024-11-09,08:00:17,700501264114,700506233149,1.93,0.03
2024-11-09,08:23:32,700509780543,700505160929,2.26,0.03
2024-11-09,08:40:45,700501055922,700504108342,1.60,0.02
